project_name,file_name,Skip_Ansible_Lint,Local_Only_Test,Assertion_Roulette,External_Dependency,No_ENV_CleanUp
bloomberg_chef-bcpc,C:\mined_repos\bloomberg\chef-bcpc\tests\test_rabbitmq.py,0,0,1,0,1
brianshumate_ansible-consul,C:\mined_repos\brianshumate\ansible-consul\tests\test.yml,0,0,0,0,1
brianshumate_ansible-consul,C:\mined_repos\brianshumate\ansible-consul\tests\test_vars.yml,0,0,0,0,1
brianshumate_ansible-consul,C:\mined_repos\brianshumate\ansible-consul\molecule\_shared\tests\conftest.py,0,0,0,0,1
brianshumate_ansible-consul,C:\mined_repos\brianshumate\ansible-consul\molecule\_shared\tests\test_default.py,0,0,1,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\share\drivers\dell_emc\plugins\unity\mocked_manila.yaml,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\share\drivers\dell_emc\plugins\unity\mocked_unity.yaml,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\conf_fixture.py,0,0,0,4,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\db_utils.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\declare_conf.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\fake_client_exception_class.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\fake_compute.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\fake_network.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\fake_notifier.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\fake_service_instance.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\fake_share.py,0,0,0,2,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\fake_utils.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\fake_volume.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\fake_zfssa.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\runtime_conf.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_api.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_conf.py,0,0,6,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_context.py,0,0,3,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_coordination.py,0,0,4,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_exception.py,0,0,48,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_hacking.py,0,0,5,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_manager.py,0,0,3,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_misc.py,0,0,0,1,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_network.py,0,0,4,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_policy.py,0,0,3,0,0
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_quota.py,0,0,32,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_rpc.py,0,0,2,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_service.py,0,0,6,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_test.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_test_utils.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\test_utils.py,0,0,8,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\utils.py,0,0,0,1,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\__init__.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\api\common.py,0,0,0,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\api\fakes.py,0,0,0,1,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\api\test_common.py,0,0,9,13,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\api\test_extensions.py,0,0,2,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\api\test_middleware.py,0,0,2,5,0
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\api\test_versions.py,0,0,8,7,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\api\test_wsgi.py,0,0,1,0,1
bswartz_manila,C:\mined_repos\bswartz\manila\manila\tests\api\__init__.py,0,0,0,0,1
